Index,No,movie,week_at_Top10
5,6,Falling for Christmas,3
6,7,Christmas with You,2
7,8,Christmas on Mistletoe Farm,1
8,9,Monster Hunter,2
9,10,The Wonder,2
0,1,Falling for Christmas,2
1,2,Godzilla vs. Kong,1
2,3,The Wonder,1
3,4,Christmas with You,1
4,5,Slumberland,1
5,6,Enola Holmes 2,3
6,7,Monster Hunter,1
7,8,Capturing the Killer Nurse,2
8,9,A Bad Moms Christmas,3
9,10,Minions & More Volume 2,2
0,1,Falling for Christmas,1
1,2,Enola Holmes 2,2
2,3,A Bad Moms Christmas,2
3,4,All Quiet on the Western Front,3
4,5,Hostage,1
5,6,The Firm,1
6,7,Enola Holmes,1
7,8,Minions & More Volume 2,1
8,9,Capturing the Killer Nurse,1
9,10,The Good Nurse,3
0,1,Enola Holmes 2,1
1,2,A Bad Moms Christmas,1
2,3,All Quiet on the Western Front,2
3,4,The Good Nurse,2
4,5,The Takeover,1
5,6,The School for Good and Evil,3
6,7,The Great Wall,1
7,8,Wild Is the Wind,1
8,9,Minions,7
9,10,Barnyard,1
0,1,The Good Nurse,1
1,2,The School for Good and Evil,2
2,3,All Quiet on the Western Front,1
3,4,Minions,6
4,5,The Chalk Line,1
5,6,Despicable Me 2,4
6,7,Despicable Me,3
7,8,Sing,4
8,9,Luckiest Girl Alive,4
9,10,Robin Hood,2
0,1,The School for Good and Evil,1
1,2,Robin Hood,1
2,3,The Curse of Bridge Hollow,2
3,4,Luckiest Girl Alive,3
4,5,Tom and Jerry,1
5,6,The Stranger,1
6,7,Sing,3
7,8,Blade,1
8,9,Minions,5
9,10,Blackout,2
0,1,Luckiest Girl Alive,2
1,2,Sing,2
2,3,Blackout,1
3,4,The Curse of Bridge Hollow,1
4,5,The Deep End of the Ocean,2
5,6,Mr. Harrigan's Phone,2
6,7,The Redeem Team,2
7,8,Charlie and the Chocolate Factory,1
8,9,Sleepers,2
9,10,Someone Borrowed,1
0,1,Luckiest Girl Alive,1
1,2,Mr. Harrigan's Phone,1
2,3,Home Again,2
3,4,Sleepers,1
4,5,Sing,1
5,6,The Deep End of the Ocean,1
6,7,Blonde,2
7,8,Buddy Games,1
8,9,Lou,3
9,10,The Redeem Team,1
0,1,Lou,2
1,2,Blonde,1
2,3,The Witches,1
3,4,The Little Things,3
4,5,Do Revenge,3
5,6,Minions & More Volume 1,2
6,7,Home Again,1
7,8,A Jazzman's Blues,2
8,9,A Trip to Infinity,1
9,10,ATHENA,1
0,1,The Little Things,2
1,2,Do Revenge,2
2,3,Lou,1
3,4,Minions & More Volume 1,1
4,5,I Used to Be Famous,1
5,6,The Family,2
6,7,Me Time,5
7,8,A Jazzman's Blues,1
8,9,Travelin' Band: Creedence Clearwater Revival at the Royal Albert Hall,1
9,10,The SpongeBob Movie: Sponge on the Run,3
0,1,The Little Things,1
1,2,Do Revenge,1
2,3,End of the Road,2
3,4,No Limit,2
4,5,The Family,1
5,6,The Road,1
6,7,The SpongeBob Movie: Sponge on the Run,2
7,8,Me Time,4
8,9,Love in the Villa,3
9,10,The Last Shift,1
0,1,Love in the Villa,2
1,2,End of the Road,1
2,3,Me Time,3
3,4,I Came By,2
4,5,Cleveland Abduction,2
5,6,The SpongeBob Movie: Sponge on the Run,1
6,7,Escape from Alcatraz,1
7,8,Loving Adults,2
8,9,No Limit,1
9,10,Get Smart With Money,1
0,1,Me Time,2
1,2,Love in the Villa,1
2,3,I Came By,1
3,4,Loving Adults,1
4,5,That's Amor,1
5,6,Cleveland Abduction,1
6,7,Look Both Ways,3
7,8,Running with the Devil: The Wild World of John McAfee,2
8,9,Untold: Operation Flagrant Foul,1
9,10,Day Shift,4
0,1,Me Time,1
1,2,Look Both Ways,2
2,3,Running with the Devil: The Wild World of John McAfee,1
3,4,Day Shift,3
4,5,Untold: The Girlfriend Who Didn't Exist,2
5,6,An Unfinished Life,2
6,7,The Next 365 Days,2
7,8,Wonder Woman 1984,3
8,9,The Gray Man,6
9,10,Inside the Mind of a Cat,2
0,1,Day Shift,2
1,2,Look Both Ways,1
2,3,An Unfinished Life,1
3,4,Wonder Woman 1984,2
4,5,Untold: The Girlfriend Who Didn't Exist,1
5,6,The Next 365 Days,1
6,7,Downsizing,2
7,8,Purple Hearts,4
8,9,The Gray Man,5
9,10,Inside the Mind of a Cat,1
0,1,Day Shift,1
1,2,Purple Hearts,3
2,3,Downsizing,1
3,4,The Gray Man,4
4,5,Wedding Season,2
5,6,Wonder Woman 1984,1
6,7,Made in Italy,1
7,8,Carter,2
8,9,Tenet,2
9,10,Everything Must Go,1
0,1,Purple Hearts,2
1,2,Tenet,1
2,3,The Gray Man,3
3,4,Wedding Season,1
4,5,Carter,1
5,6,The Desperate Hour,2
6,7,Shania Twain: Not Just a Girl,2
7,8,The Sea Beast,5
8,9,Heist,1
9,10,Daddy Day Camp,1
0,1,The Gray Man,2
1,2,Purple Hearts,1
2,3,Shania Twain: Not Just a Girl,1
3,4,The Sea Beast,4
4,5,Irresistible,2
5,6,Recurrence,1
6,7,The Desperate Hour,1
7,8,The Rental,2
8,9,Persuasion,3
9,10,The Man from Toronto,6
0,1,The Gray Man,1
1,2,The Sea Beast,3
2,3,Persuasion,2
3,4,The Man from Toronto,5
4,5,Girl in the Picture,3
5,6,The Rental,1
6,7,Irresistible,1
7,8,Hustle,6
8,9,The King of Staten Island,4
9,10,Hector and the Search for Happiness,2
0,1,The Sea Beast,2
1,2,Girl in the Picture,2
2,3,Persuasion,1
3,4,The Man from Toronto,4
4,5,The King of Staten Island,3
5,6,Valley of the Dead,1
6,7,Hector and the Search for Happiness,1
7,8,Hustle,5
8,9,The Stepfather,2
9,10,Outlander,2
0,1,Girl in the Picture,1
1,2,The King of Staten Island,2
2,3,The Man from Toronto,3
3,4,The Sea Beast,1
4,5,Final Score,2
5,6,Angel Eyes,2
6,7,Outlander,1
7,8,The Stepfather,1
8,9,Cold Mountain,2
9,10,The High Note,1
0,1,The Man from Toronto,2
1,2,Love & Gelato,2
2,3,The King of Staten Island,1
3,4,Hustle,4
4,5,Final Score,1
5,6,Spiderhead,3
6,7,Angel Eyes,1
7,8,Cold Mountain,1
8,9,S.W.A.T.: Firefight,1
9,10,Den of Thieves,2
0,1,The Man from Toronto,1
1,2,Spiderhead,2
2,3,Hustle,3
3,4,Love & Gelato,1
4,5,The Devil's Advocate,1
5,6,Halftime,2
6,7,Den of Thieves,1
7,8,Chickenhare and the Hamster of Darkness,2
8,9,Trolls World Tour,4
9,10,Bhool Bhulaiyaa 2,1
0,1,Hustle,2
1,2,Spiderhead,1
2,3,Halftime,1
3,4,Chickenhare and the Hamster of Darkness,1
4,5,Trolls World Tour,3
5,6,The Guilt Trip,1
6,7,Body Cam,1
7,8,Labor Day,2
8,9,Blacklight,3
9,10,Divergent,3
0,1,Hustle,1
1,2,Blacklight,2
2,3,Interceptor,2
3,4,Divergent,2
4,5,Labor Day,1
5,6,Trolls World Tour,2
6,7,The Divergent Series: Insurgent,2
7,8,The Divergent Series: Allegiant - Part 1,2
8,9,The Way Back,1
9,10,Mr. & Mrs. Smith,2
0,1,Divergent,1
1,2,Blacklight,1
2,3,Interceptor,1
3,4,Trolls World Tour,1
4,5,The Divergent Series: Insurgent,1
5,6,21 Bridges,1
6,7,Mr. & Mrs. Smith,1
7,8,The Divergent Series: Allegiant - Part 1,1
8,9,Heart of Champions,1
9,10,Sonic the Hedgehog,4
0,1,A Perfect Pairing,2
1,2,Jackass 4.5,2
2,3,Sonic the Hedgehog,3
3,4,Senior Year,3
4,5,Deep Blue Sea 3,1
5,6,Toscana,2
6,7,RRR (Hindi),1
7,8,F*ck Love Too,1
8,9,Our Father,3
9,10,Operation Mincemeat,3
0,1,Senior Year,2
1,2,Sonic the Hedgehog,2
2,3,A Perfect Pairing,1
3,4,Jackass 4.5,1
4,5,Our Father,2
5,6,Operation Mincemeat,2
6,7,Borrego,1
7,8,Toscana,1
8,9,The Perfect Family,1
9,10,Mafia Inc.,1
0,1,Senior Year,1
1,2,Our Father,1
2,3,Operation Mincemeat,1
3,4,The Takedown,2
4,5,Marmaduke,1
5,6,Along for the Ride,1
6,7,Without a Paddle,2
7,8,Sonic the Hedgehog,1
8,9,Jason Bourne,1
9,10,Dolittle,2
0,1,The Hunt,1
1,2,Dolittle,1
2,3,1917,1
3,4,Sniper: Assassin's End,1
4,5,Without a Paddle,1
5,6,The Takedown,1
6,7,Absolute Power,1
7,8,Eagle Eye,1
8,9,Old Henry,2
9,10,Showtime,1
0,1,365 Days: This Day,1
1,2,My Spy,1
2,3,The Mystery of Marilyn Monroe: The Unheard Tapes,1
3,4,American Gangster,1
4,5,One Shot,1
5,6,Gangubai Kathiawadi,1
6,7,The Secret Life of Pets,1
7,8,Silverton Siege,1
8,9,Line of Duty,2
9,10,Old Henry,1
0,1,Line of Duty,1
1,2,White Hot: The Rise & Fall of Abercrombie & Fitch,1
2,3,Cloud Atlas,1
3,4,The Whistleblower,1
4,5,Mile 22,2
5,6,Choose or Die,2
6,7,The In Between,3
7,8,Cleaner,4
8,9,Reprisal,2
9,10,The Adam Project,7
0,1,The In Between,2
1,2,Mile 22,1
2,3,Cleaner,3
3,4,Angel Has Fallen,2
4,5,Choose or Die,1
5,6,Return to Space,1
6,7,Reprisal,1
7,8,Aileen Wuornos: American Boogeywoman,1
8,9,The Adam Project,6
9,10,Metal Lords,1
0,1,Angel Has Fallen,1
1,2,Cleaner,2
2,3,The In Between,1
3,4,Dark Waters,2
4,5,R.I.P.D.,1
5,6,The Bubble,2
6,7,Warcraft,1
7,8,3 Days to Kill,1
8,9,8 Mile,1
9,10,The Adam Project,5
0,1,Dark Waters,1
1,2,Trust No One: The Hunt for the Crypto King,1
2,3,The Bubble,1
3,4,The Adam Project,4
4,5,Rambo: Last Blood,1
5,6,Like a Boss,1
6,7,6 Underground,1
7,8,A Walk Among the Tombstones,1
8,9,The Wedding Year,1
9,10,Cleaner,1
0,1,The Adam Project,3
1,2,Out of Death,1
2,3,The Invisible Man,2
3,4,Black Crab,2
4,5,Get Hard,2
5,6,Rescued by Ruby,2
6,7,Windfall,1
7,8,Mad Max: Fury Road,2
8,9,'83,1
9,10,In Good Hands,1
0,1,The Adam Project,2
1,2,Get Hard,1
2,3,Black Crab,1
3,4,Mad Max: Fury Road,1
4,5,Rescued by Ruby,1
5,6,The Invisible Man,1
6,7,The Pelican Brief,1
7,8,The Specialist,1
8,9,The Long Kiss Goodnight,1
9,10,The Last Samurai,1
0,1,The Adam Project,1
1,2,The Weekend Away,2
2,3,The Boss,1
3,4,The Bombardment,1
4,5,Scoob!,3
5,6,Against The Ice,2
6,7,Killerman,1
7,8,Dead Man Down,2
8,9,Badhaai Do,1
9,10,Ted,1
0,1,The Weekend Away,1
1,2,Against The Ice,1
2,3,Scoob!,2
3,4,Bombshell,2
4,5,A Madea Homecoming,2
5,6,Dead Man Down,1
6,7,3 From Hell,1
7,8,Restless,2
8,9,The Tinder Swindler,5
9,10,The Misfits,2
0,1,The Misfits,1
1,2,Focus,2
2,3,A Madea Homecoming,1
3,4,The Tinder Swindler,4
4,5,Scoob!,1
5,6,Bombshell,1
6,7,Downfall: The Case Against Boeing,2
7,8,Tammy,2
8,9,A Cinderella Story,2
9,10,Restless,1
0,1,Focus,1
1,2,The Tinder Swindler,3
2,3,Tammy,1
3,4,Texas Chainsaw Massacre,1
4,5,Finding You,2
5,6,Tall Girl 2,2
6,7,Downfall: The Case Against Boeing,1
7,8,Fistful of Vengeance,1
8,9,The Clovehitch Killer,2
9,10,A Cinderella Story,1
0,1,The Tinder Swindler,2
1,2,Tall Girl 2,1
2,3,The Clovehitch Killer,1
3,4,Finding You,1
4,5,Horrible Bosses 2,2
5,6,Through My Window,2
6,7,Killer Elite,2
7,8,The Huntsman: Winter's War,1
8,9,American Reunion,1
9,10,The Privilege,1
0,1,The Tinder Swindler,1
1,2,Home Team,2
2,3,Horrible Bosses 2,1
3,4,Transporter 3,1
4,5,Killer Elite,1
5,6,Daylight,1
6,7,Every Breath You Take,1
7,8,My Best Friend Anne Frank,1
8,9,Through My Window,1
9,10,Blumhouse's Fantasy Island,2
0,1,Home Team,1
1,2,The Last Full Measure,1
2,3,The Royal Treatment,2
3,4,Munich – The Edge of War,1
4,5,Blumhouse's Fantasy Island,1
5,6,Midnight in the Switchgrass,2
6,7,Prisoners,2
7,8,Lying and Stealing,1
8,9,Playing with Fire,2
9,10,Beautiful Creatures,1
0,1,Midnight in the Switchgrass,1
1,2,Prisoners,1
2,3,The Royal Treatment,1
3,4,Playing with Fire,1
4,5,Brazen,2
5,6,After We Fell,1
6,7,Alexander,1
7,8,Blow,1
8,9,Don't Look Up,5
9,10,Under Siege,1
0,1,Brazen,1
1,2,Terminator: Dark Fate,1
2,3,Bloodshot,2
3,4,Tides,1
4,5,Don't Look Up,4
5,6,Vanquish,1
6,7,American Sniper,2
7,8,The Protege,2
8,9,Mother/Android,2
9,10,Bad Boys for Life,2
0,1,The Protege,1
1,2,Don't Look Up,3
2,3,American Sniper,1
3,4,Bad Boys for Life,1
4,5,Mother/Android,1
5,6,Bloodshot,1
6,7,The Lost Daughter,2
7,8,North Country,1
8,9,Harriet,1
9,10,The Boss Baby,3
0,1,Don't Look Up,2
1,2,Left Behind,1
2,3,The Unforgivable,4
3,4,The Boss Baby,2
4,5,New in Town,1
5,6,The Lost Daughter,1
6,7,Gemini Man,3
7,8,Death to 2021,1
8,9,Red Notice,6
9,10,Spider-Man: Far from Home,4
0,1,Don't Look Up,1
1,2,Gemini Man,2
2,3,How the Grinch Stole Christmas,7
3,4,The Unforgivable,3
4,5,The Boss Baby,1
5,6,Spider-Man: Far from Home,3
6,7,Back to the Outback,3
7,8,The Christmas Chronicles,1
8,9,Spider-Man: Homecoming,1
9,10,The Holiday,1
0,1,The Unforgivable,2
1,2,Gemini Man,1
2,3,Just Mercy,1
3,4,Back to the Outback,2
4,5,Night Hunter,1
5,6,How the Grinch Stole Christmas,6
6,7,A California Christmas: City Lights,1
7,8,Escape from Pretoria,2
8,9,Jumanji: The Next Level,3
9,10,Spider-Man: Far from Home,2
0,1,The Unforgivable,1
1,2,Jumanji: The Next Level,2
2,3,How the Grinch Stole Christmas,5
3,4,Escape from Pretoria,1
4,5,Single All The Way,2
5,6,Back to the Outback,1
6,7,Red Notice,5
7,8,Home,1
8,9,The Fast and the Furious,1
9,10,The Power of the Dog,2
0,1,Jumanji: The Next Level,1
1,2,The Power of the Dog,1
2,3,A Castle For Christmas,2
3,4,The Way Back,1
4,5,Red Notice,4
5,6,14 Peaks: Nothing Is Impossible,1
6,7,Executive Decision,1
