No,movie,week_at_Top10
10,"Bob Ross: Happy Accidents, Betrayal & Greed",2
1,Sweet Girl,2
2,He's All That,1
3,SAS: Rise of the Black Swan,1
4,The Loud House Movie,2
5,Vivo,4
6,"Bob Ross: Happy Accidents, Betrayal & Greed",1
7,The Witcher: Nightmare of the Wolf,1
8,The Old Ways,1
9,The Water Man,1
10,Home,4
1,Sweet Girl,1
2,Vivo,3
3,Beckett,2
4,The Kissing Booth 3,2
5,The Loud House Movie,1
6,The Vault,4
7,Major Payne,3
8,Black Island,1
9,Untold: Malice at the Palace,2
10,Home,3
1,The Kissing Booth 3,1
2,Vivo,2
3,Beckett,1
4,Major Payne,2
5,The Vault,3
6,Aftermath,2
7,Untold: Malice at the Palace,1
8,The Losers,2
9,The Paper Tigers,1
10,The Net,1
1,The Vault,2
2,Vivo,1
3,The Losers,1
4,Aftermath,1
5,Resort to Love,2
6,Five Feet Apart,1
7,Major Payne,1
8,Rurouni Kenshin: The Beginning,1
9,Poms,1
10,The Last Mercenary,1
1,Blood Red Sky,2
2,Resort to Love,1
3,The Last Letter From Your Lover,2
4,Twilight,3
5,The Twilight Saga: Breaking Dawn: Part 2,2
6,The Twilight Saga: New Moon,3
7,The Twilight Saga: Eclipse,3
8,The Twilight Saga: Breaking Dawn: Part 1,2
9,The Vault,1
10,Home,2
1,Twilight,2
2,The Twilight Saga: New Moon,2
3,The Twilight Saga: Eclipse,2
4,The Twilight Saga: Breaking Dawn: Part 2,1
5,Blood Red Sky,1
6,The Twilight Saga: Breaking Dawn: Part 1,1
7,Gunpowder Milkshake,2
8,Trollhunters: Rise of the Titans,1
9,Fear Street Part 3: 1666,2
10,The Last Letter From Your Lover,1
1,Gunpowder Milkshake,1
2,Fear Street Part 3: 1666,1
3,Twilight,1
4,Fear Street Part 2: 1978,2
5,Fear Street Part 1: 1994,3
6,The Twilight Saga: New Moon,1
7,Major Grom: Plague Doctor,2
8,The Twilight Saga: Eclipse,1
9,Mother's Day,3
10,Kung Fu Panda,2
1,Mother's Day,2
2,Fear Street Part 1: 1994,2
3,Talladega Nights: The Ballad of Ricky Bobby,2
4,Fear Street Part 2: 1978,1
5,The Ice Road,2
6,Kung Fu Panda,1
7,Fatherhood,2
8,The Best of Enemies,1
9,Major Grom: Plague Doctor,1
10,Kung Fu Panda 2,1
