No,movie,week_at_Top10
10,"Bob Ross: Happy Accidents, Betrayal & Greed",1
1,Sweet Girl,1
2,Joker,1
3,The Kissing Booth 3,2
4,Beckett,2
5,Vivo,3
6,The Girl Next Door,1
7,Wrath of Man,5
8,The Loud House Movie,1
9,The Vault,4
10,The Hustle,3
1,The Kissing Booth 3,1
2,The Hustle,2
3,Vivo,2
4,Beckett,1
5,Inside Man,2
6,Wrath of Man,4
7,The Vault,3
8,Aftermath,2
9,Untold: Malice at the Palace,1
10,Anna,3
1,The Vault,2
2,Wrath of Man,3
3,Anna,2
4,Inside Man,1
5,Resort to Love,2
6,Aftermath,1
7,The Angry Birds Movie 2,2
8,Ma,1
9,Vivo,1
10,The Hustle,1
1,Wrath of Man,2
2,The Angry Birds Movie 2,1
3,Blood Red Sky,2
4,Anna,1
5,Resort to Love,1
6,The Last Letter From Your Lover,2
7,The Vault,1
8,Mimi,1
9,Space Jam,2
10,Kingdom: Ashin of the North,1
1,Wrath of Man,1
2,Blood Red Sky,1
3,Gunpowder Milkshake,2
4,Cosmic Sin,1
5,Trollhunters: Rise of the Titans,1
6,Space Jam,1
7,The Last Letter From Your Lover,1
8,It Chapter Two,2
9,The Secret Life of Pets 2,4
10,Fear Street Part 3: 1666,2
1,Gunpowder Milkshake,1
2,It Chapter Two,1
3,Fear Street Part 3: 1666,1
4,The Secret Life of Pets 2,3
5,Fear Street Part 2: 1978,2
6,Major Grom: Plague Doctor,2
7,Fear Street Part 1: 1994,3
8,John Wick: Chapter 3 - Parabellum,3
9,This Little Love of Mine,1
10,Ghost Rider,1
1,John Wick: Chapter 3 - Parabellum,2
2,The Secret Life of Pets 2,2
3,The Impossible,1
4,Major Grom: Plague Doctor,1
5,Fear Street Part 1: 1994,2
6,Fear Street Part 2: 1978,1
7,Fatherhood,2
8,Little Fockers,1
9,Disturbia,2
10,Kung Fu Panda 3,1
