No,movie,week_at_Top10
10,Space Jam,1
1,Gemini Man,3
2,Wannabe Courageous,3
3,The Last Mercenary,2
4,Blood Red Sky,3
5,Aftermath,1
6,راس السنة,3
7,Resort to Love,2
8,The Bone Collector,1
9,Vivo,1
10,Creed,1
1,Gemini Man,2
2,Blood Red Sky,2
3,Wannabe Courageous,2
4,راس السنة,2
5,The Last Letter From Your Lover,1
6,Chernobyl 1986,2
7,Resort to Love,1
8,The Last Mercenary,1
9,Spider-Man: Into the Spider-Verse,3
10,Wish Dragon,4
1,Wannabe Courageous,1
2,Gemini Man,1
3,راس السنة,1
4,Blood Red Sky,1
5,"The Good, The Bad, and The Playful",3
6,Chernobyl 1986,1
7,Spider-Man: Into the Spider-Verse,2
8,The Magnificent Seven,2
9,Ahwak,2
10,Trollhunters: Rise of the Titans,1
1,"The Good, The Bad, and The Playful",2
2,Spider-Man: Into the Spider-Verse,1
3,Major Grom: Plague Doctor,2
4,The Magnificent Seven,1
5,Fatherhood,3
6,Wish Dragon,3
7,How I Became a Superhero,1
8,Believe Me: The Abduction of Lisa McVey,1
9,Fear Street Part 2: 1978,1
10,The Suit,2
1,Fatherhood,2
2,Major Grom: Plague Doctor,1
3,"The Good, The Bad, and The Playful",1
4,Wish Dragon,2
5,When We are Born,2
6,Fear Street Part 1: 1994,2
7,Me Before You,2
8,The Hobbit: The Battle of the Five Armies,1
9,The Hobbit: An Unexpected Journey,2
10,Ali Baba,2
